id,province,industryId,industry,year,targetName,targetUnit,value
1,上海市,,,2022,商品房:成交面积:上海（2022年1月10日）,万平方米,5.23
2,上海市,,,2022,商品房:成交面积:上海（2022年1月11日）,万平方米,4.52
3,上海市,,,2022,商品房:成交面积:上海（2022年1月12日）,万平方米,4.3
4,上海市,,,2022,商品房:成交面积:上海（2022年1月13日）,万平方米,3.49
5,上海市,,,2022,商品房:成交面积:上海（2022年1月14日）,万平方米,3.51
6,上海市,,,2022,商品房:成交面积:上海（2022年1月15日）,万平方米,3.95
7,上海市,,,2022,商品房:成交面积:上海（2022年1月16日）,万平方米,4.02
8,上海市,,,2022,商品房:成交面积:上海（2022年1月17日）,万平方米,3.75
9,上海市,,,2022,商品房:成交面积:上海（2022年1月18日）,万平方米,4.17
10,上海市,,,2022,商品房:成交面积:上海（2022年1月19日）,万平方米,2.8
11,上海市,,,2022,商品房:成交面积:上海（2022年1月1日）,万平方米,0.48
12,上海市,,,2022,商品房:成交面积:上海（2022年1月20日）,万平方米,1.78
13,上海市,,,2022,商品房:成交面积:上海（2022年1月21日）,万平方米,1.52
14,上海市,,,2022,商品房:成交面积:上海（2022年1月22日）,万平方米,3.22
15,上海市,,,2022,商品房:成交面积:上海（2022年1月23日）,万平方米,3.86
16,上海市,,,2022,商品房:成交面积:上海（2022年1月24日）,万平方米,4.18
17,上海市,,,2022,商品房:成交面积:上海（2022年1月25日）,万平方米,7.91
18,上海市,,,2022,商品房:成交面积:上海（2022年1月26日）,万平方米,4.97
19,上海市,,,2022,商品房:成交面积:上海（2022年1月27日）,万平方米,4.92
20,上海市,,,2022,商品房:成交面积:上海（2022年1月2日）,万平方米,3.46
21,上海市,,,2022,商品房:成交面积:上海（2022年1月3日）,万平方米,4.06
22,上海市,,,2022,商品房:成交面积:上海（2022年1月4日）,万平方米,4.26
23,上海市,,,2022,商品房:成交面积:上海（2022年1月5日）,万平方米,4.03
24,上海市,,,2022,商品房:成交面积:上海（2022年1月6日）,万平方米,2.02
25,上海市,,,2022,商品房:成交面积:上海（2022年1月7日）,万平方米,1.37
26,上海市,,,2022,商品房:成交面积:上海（2022年1月8日）,万平方米,3.7
27,上海市,,,2022,商品房:成交面积:上海（2022年1月9日）,万平方米,5.24
28,上海市,,,2022,商品房:成交面积:上海（2022年2月10日）,万平方米,2.24
29,上海市,,,2022,商品房:成交面积:上海（2022年2月11日）,万平方米,1.51
30,上海市,,,2022,商品房:成交面积:上海（2022年2月12日）,万平方米,1.74
31,上海市,,,2022,商品房:成交面积:上海（2022年2月13日）,万平方米,1.22
32,上海市,,,2022,商品房:成交面积:上海（2022年2月14日）,万平方米,0.44
33,上海市,,,2022,商品房:成交面积:上海（2022年2月1日）,万平方米,3.51
34,上海市,,,2022,商品房:成交面积:上海（2022年2月21日）,万平方米,0.14
