id,industryId,industry,year,targetName,targetUnit,value
1,,,2022,CPI:当月同比（年度）,%,2.02
2,,,2022,CPI:消费品:当月同比（年度）,%,1.54
3,,,2022,TFT液晶面板:大尺寸:出货量:平板电脑:当月值（年度）,百万片,30.8
4,,,2022,一级市场债券净融资量:合计（年度）,亿元,7142.404495701999
5,,,2022,个人住房公积金贷款利率:5年以上（年度）,%,3.25
6,,,2022,中长期贷款利率:5年以上（年度）,%,4.9
7,,,2022,乘用车产量:国内:运动型多用途乘用车(SUV):当期值（年度）,辆,3459153.0
8,,,2022,乘用车销量:国内:运动型多用途乘用车销量(SUV):当期值（年度）,辆,3379991.0
9,,,2022,产量:原煤:当月值（年度）,万吨,58351.7
10,,,2022,信托产品:投资领域平均收益:房地产（年度）,%,7.85
11,,,2022,全社会用电量:工业用电:当月值（年度）,亿千瓦时,9908.0
12,,,2022,全社会用电量:当月值（年度）,亿千瓦时,15099.0
13,,,2022,全社会用电量:第一产业:当月值（年度）,亿千瓦时,197.0
14,,,2022,全社会用电量:第三产业:当月值（年度）,亿千瓦时,2374.0
15,,,2022,全社会用电量:第二产业:当月值（年度）,亿千瓦时,10084.0
16,,,2022,全部土地:全市:成交面积:当月值（年度）,万平方米,88709.96
17,,,2022,公路客运量:当月值（年度）,万人,465655.0
18,,,2022,公路货运量:当月值（年度）,万吨,1110562.0
19,,,2022,出口数量:微型电脑:当月值（年度）,万台,284.0
20,,,2022,制造业PMI:产成品库存（年度）,%,46.86
21,,,2022,制造业PMI:原材料库存（年度）,%,49.36
22,,,2022,制造业PMI:新出口订单（年度）,%,50.34
23,,,2022,制造业PMI:进口（年度）,%,50.52
24,,,2022,发电量:火电:当月值（年度）,亿千瓦小时,15604.8
25,,,2022,商品房待售面积:累计值（年度）,万平方米,172484.0
26,,,2022,固定资产投资完成额:当月值（年度）,亿元,109732.0
27,,,2022,存管证券只数（年度）,只,15715.0
28,,,2022,存管证券已上市流通市值（年度）,亿元,546016.52
29,,,2022,存管证券面值（年度）,亿元,153411.05
30,,,2022,工业增加值:当月同比（年度）,%,6.5775
31,14,采矿业,2022,工业增加值:采矿业:当月同比（年度）,%,-0.65
32,,,2022,平均汇率:中间价:美元兑人民币（年度）,,6.34958
33,,,2022,房地产开发投资完成额:当月值（年度）,亿元,19760.8608
34,,,2022,月均国际现货价格:航空煤油（年度）,美元/桶,82.12812500000001
35,,,2022,汽车产量:乘用车:当月值（年度）,万辆,796.8899
36,,,2022,汽车经销商库存系数:自主品牌（年度）,,1.78
37,,,2022,汽车销量:乘用车:当月值（年度）,万辆,801.4268999999999
38,,,2022,沪深合计:融资融券余额（年度）,亿元,9888.609091
39,,,2022,生产资料价格指数:原煤:定基数（年度）,2000=100,63.333333333333336
