id,province,industryId,industry,year,targetName,targetUnit,value
280,广东省,,,2022,商品房:成交面积:广州（2022年2月19日）,万平方米,0.02
283,广东省,,,2022,商品房:成交面积:广州（2022年2月21日）,万平方米,0.02
402,广东省,,,2022,商品房:成交面积:深圳（2022年2月11日）,万平方米,0.02
610,上海市,,,2022,商品房:成交面积:上海（2021年1月31日）,万平方米,0.02
1275,广东省,,,2022,商品房:成交面积:广州（2021年1月28日）,万平方米,0.02
1276,广东省,,,2022,商品房:成交面积:广州（2021年1月29日）,万平方米,0.02
1278,广东省,,,2022,商品房:成交面积:广州（2021年1月30日）,万平方米,0.02
1631,广东省,,,2022,商品房:成交面积:深圳（2021年1月23日）,万平方米,0.02
282,广东省,,,2022,商品房:成交面积:广州（2022年2月20日）,万平方米,0.03
627,上海市,,,2022,商品房:成交面积:上海（2021年2月1日）,万平方米,0.03
1630,广东省,,,2022,商品房:成交面积:深圳（2021年1月22日）,万平方米,0.03
1657,广东省,,,2022,商品房:成交面积:深圳（2021年2月3日）,万平方米,0.03
279,广东省,,,2022,商品房:成交面积:广州（2022年2月18日）,万平方米,0.04
403,广东省,,,2022,商品房:成交面积:深圳（2022年2月14日）,万平方米,0.04
405,广东省,,,2022,商品房:成交面积:深圳（2022年2月22日）,万平方米,0.04
427,广东省,,,2022,商品房:成交面积:深圳（2022年3月17日）,万平方米,0.04
637,上海市,,,2022,商品房:成交面积:上海（2021年2月2日）,万平方米,0.04
278,广东省,,,2022,商品房:成交面积:广州（2022年2月17日）,万平方米,0.05
1658,广东省,,,2022,商品房:成交面积:深圳（2021年2月5日）,万平方米,0.06
2627,广东省,,,2022,商品房:成交面积:深圳（2020年10月3日）,万平方米,0.06
276,广东省,,,2022,商品房:成交面积:广州（2022年2月15日）,万平方米,0.07
1279,广东省,,,2022,商品房:成交面积:广州（2021年1月31日）,万平方米,0.07
1865,广东省,,,2022,商品房:成交面积:深圳（2021年9月9日）,万平方米,0.08
277,广东省,,,2022,商品房:成交面积:广州（2022年2月16日）,万平方米,0.09
839,北京市,,,2022,商品房:成交面积:北京（2021年10月2日）,万平方米,0.1
842,北京市,,,2022,商品房:成交面积:北京（2021年10月3日）,万平方米,0.1
843,北京市,,,2022,商品房:成交面积:北京（2021年10月4日）,万平方米,0.1
845,北京市,,,2022,商品房:成交面积:北京（2021年10月6日）,万平方米,0.1
2624,广东省,,,2022,商品房:成交面积:深圳（2020年10月2日）,万平方米,0.1
2701,广东省,,,2022,商品房:成交面积:深圳（2020年5月1日）,万平方米,0.1
401,广东省,,,2022,商品房:成交面积:深圳（2022年2月10日）,万平方米,0.12
2795,广东省,,,2022,商品房:成交面积:深圳（2020年8月27日）,万平方米,0.12
34,上海市,,,2022,商品房:成交面积:上海（2022年2月21日）,万平方米,0.14
1274,广东省,,,2022,商品房:成交面积:广州（2021年1月27日）,万平方米,0.14
1628,广东省,,,2022,商品房:成交面积:深圳（2021年1月1日）,万平方米,0.14
1659,广东省,,,2022,商品房:成交面积:深圳（2021年2月6日）,万平方米,0.14
2798,广东省,,,2022,商品房:成交面积:深圳（2020年8月2日）,万平方米,0.14
1306,广东省,,,2022,商品房:成交面积:广州（2021年2月2日）,万平方米,0.15
2712,广东省,,,2022,商品房:成交面积:深圳（2020年5月2日）,万平方米,0.18
197,北京市,,,2022,商品房:成交面积:北京（2022年4月14日）,万平方米,0.2
215,北京市,,,2022,商品房:成交面积:北京（2022年4月30日）,万平方米,0.2
219,北京市,,,2022,商品房:成交面积:北京（2022年4月6日）,万平方米,0.2
225,北京市,,,2022,商品房:成交面积:北京（2022年5月12日）,万平方米,0.2
231,北京市,,,2022,商品房:成交面积:北京（2022年5月5日）,万平方米,0.2
844,北京市,,,2022,商品房:成交面积:北京（2021年10月5日）,万平方米,0.2
924,北京市,,,2022,商品房:成交面积:北京（2021年1月26日）,万平方米,0.2
2339,北京市,,,2022,商品房:成交面积:北京（2020年9月1日）,万平方米,0.2
1640,广东省,,,2022,商品房:成交面积:深圳（2021年2月11日）,万平方米,0.21
2696,广东省,,,2022,商品房:成交面积:深圳（2020年5月15日）,万平方米,0.21
419,广东省,,,2022,商品房:成交面积:深圳（2022年2月9日）,万平方米,0.22
1623,广东省,,,2022,商品房:成交面积:深圳（2021年1月15日）,万平方米,0.22
2615,广东省,,,2022,商品房:成交面积:深圳（2020年10月21日）,万平方米,0.23
2685,广东省,,,2022,商品房:成交面积:深圳（2020年12月4日）,万平方米,0.23
418,广东省,,,2022,商品房:成交面积:深圳（2022年2月8日）,万平方米,0.24
1629,广东省,,,2022,商品房:成交面积:深圳（2021年1月20日）,万平方米,0.24
521,上海市,,,2022,商品房:成交面积:上海（2021年10月2日）,万平方米,0.25
1641,广东省,,,2022,商品房:成交面积:深圳（2021年2月12日）,万平方米,0.25
1666,广东省,,,2022,商品房:成交面积:深圳（2021年3月13日）,万平方米,0.25
1672,广东省,,,2022,商品房:成交面积:深圳（2021年3月19日）,万平方米,0.25
1679,广东省,,,2022,商品房:成交面积:深圳（2021年3月25日）,万平方米,0.25
1688,广东省,,,2022,商品房:成交面积:深圳（2021年3月4日）,万平方米,0.25
2720,广东省,,,2022,商品房:成交面积:深圳（2020年5月8日）,万平方米,0.25
275,广东省,,,2022,商品房:成交面积:广州（2022年2月14日）,万平方米,0.26
2695,广东省,,,2022,商品房:成交面积:深圳（2020年5月14日）,万平方米,0.26
2788,广东省,,,2022,商品房:成交面积:深圳（2020年8月20日）,万平方米,0.27
1726,广东省,,,2022,商品房:成交面积:深圳（2021年5月14日）,万平方米,0.28
1665,广东省,,,2022,商品房:成交面积:深圳（2021年3月12日）,万平方米,0.29
156,北京市,,,2022,商品房:成交面积:北京（2022年2月22日）,万平方米,0.3
168,北京市,,,2022,商品房:成交面积:北京（2022年3月10日）,万平方米,0.3
175,北京市,,,2022,商品房:成交面积:北京（2022年3月17日）,万平方米,0.3
205,北京市,,,2022,商品房:成交面积:北京（2022年4月21日）,万平方米,0.3
213,北京市,,,2022,商品房:成交面积:北京（2022年4月29日）,万平方米,0.3
243,北京市,,,2022,商品房:成交面积:北京（2022年6月9日）,万平方米,0.3
828,北京市,,,2022,商品房:成交面积:北京（2021年10月1日）,万平方米,0.3
830,北京市,,,2022,商品房:成交面积:北京（2021年10月21日）,万平方米,0.3
846,北京市,,,2022,商品房:成交面积:北京（2021年10月7日）,万平方米,0.3
1090,北京市,,,2022,商品房:成交面积:北京（2021年7月1日）,万平方米,0.3
1645,广东省,,,2022,商品房:成交面积:深圳（2021年2月16日）,万平方米,0.3
1661,广东省,,,2022,商品房:成交面积:深圳（2021年2月8日）,万平方米,0.3
1744,广东省,,,2022,商品房:成交面积:深圳（2021年5月30日）,万平方米,0.3
2794,广东省,,,2022,商品房:成交面积:深圳（2020年8月26日）,万平方米,0.3
1689,广东省,,,2022,商品房:成交面积:深圳（2021年3月5日）,万平方米,0.33
284,广东省,,,2022,商品房:成交面积:广州（2022年2月22日）,万平方米,0.34
1307,广东省,,,2022,商品房:成交面积:广州（2021年2月3日）,万平方米,0.34
1664,广东省,,,2022,商品房:成交面积:深圳（2021年3月11日）,万平方米,0.34
1648,广东省,,,2022,商品房:成交面积:深圳（2021年2月19日）,万平方米,0.36
1651,广东省,,,2022,商品房:成交面积:深圳（2021年2月22日）,万平方米,0.36
1678,广东省,,,2022,商品房:成交面积:深圳（2021年3月24日）,万平方米,0.37
511,上海市,,,2022,商品房:成交面积:上海（2021年10月1日）,万平方米,0.38
524,上海市,,,2022,商品房:成交面积:上海（2021年10月3日）,万平方米,0.38
525,上海市,,,2022,商品房:成交面积:上海（2021年10月4日）,万平方米,0.38
526,上海市,,,2022,商品房:成交面积:上海（2021年10月5日）,万平方米,0.38
1680,广东省,,,2022,商品房:成交面积:深圳（2021年3月26日）,万平方米,0.38
1796,广东省,,,2022,商品房:成交面积:深圳（2021年7月30日）,万平方米,0.38
406,广东省,,,2022,商品房:成交面积:深圳（2022年2月23日）,万平方米,0.39
158,北京市,,,2022,商品房:成交面积:北京（2022年2月24日）,万平方米,0.4
217,北京市,,,2022,商品房:成交面积:北京（2022年4月4日）,万平方米,0.4
1013,北京市,,,2022,商品房:成交面积:北京（2021年4月3日）,万平方米,0.4
1121,北京市,,,2022,商品房:成交面积:北京（2021年8月1日）,万平方米,0.4
1671,广东省,,,2022,商品房:成交面积:深圳（2021年3月18日）,万平方米,0.4
2662,广东省,,,2022,商品房:成交面积:深圳（2020年12月11日）,万平方米,0.4
268,广东省,,,2022,商品房:成交面积:广州（2022年1月7日）,万平方米,0.41
