id,industryId,industry,year,targetName,targetUnit,value
1,,,2022,CPI:当月同比（2022年1月）,%,1.5
2,,,2022,CPI:当月同比（2022年2月）,%,2.9
3,,,2022,CPI:当月同比（2022年3月）,%,2.1
4,,,2022,CPI:当月同比（2022年4月）,%,1.8
5,,,2022,CPI:当月同比（2022年5月）,%,1.8
6,,,2022,CPI:消费品:当月同比（2022年1月）,%,1.0
7,,,2022,CPI:消费品:当月同比（2022年2月）,%,2.5
8,,,2022,CPI:消费品:当月同比（2022年3月）,%,1.6
9,,,2022,CPI:消费品:当月同比（2022年4月）,%,1.3
10,,,2022,CPI:消费品:当月同比（2022年5月）,%,1.3
11,,,2022,TFT液晶面板:大尺寸:出货量:平板电脑:当月值（2022年1月）,百万片,7.4
12,,,2022,TFT液晶面板:大尺寸:出货量:平板电脑:当月值（2022年2月）,百万片,7.5
13,,,2022,TFT液晶面板:大尺寸:出货量:平板电脑:当月值（2022年3月）,百万片,8.2
14,,,2022,TFT液晶面板:大尺寸:出货量:平板电脑:当月值（2022年4月）,百万片,7.7
15,,,2022,一级市场债券净融资量:合计（2022年1月）,亿元,-477.4045369
16,,,2022,一级市场债券净融资量:合计（2022年2月）,亿元,4115.592784
17,,,2022,一级市场债券净融资量:合计（2022年3月）,亿元,11625.47763
18,,,2022,一级市场债券净融资量:合计（2022年4月）,亿元,9859.956748
19,,,2022,一级市场债券净融资量:合计（2022年5月）,亿元,10588.39985
20,,,2022,个人住房公积金贷款利率:5年以上（2022年1月）,%,3.25
21,,,2022,个人住房公积金贷款利率:5年以上（2022年2月）,%,3.25
22,,,2022,个人住房公积金贷款利率:5年以上（2022年3月）,%,3.25
23,,,2022,个人住房公积金贷款利率:5年以上（2022年4月）,%,3.25
24,,,2022,个人住房公积金贷款利率:5年以上（2022年5月）,%,3.25
25,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年1月12日）,1998年1月1日=1000,791.38
26,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年1月19日）,1998年1月1日=1000,813.0
27,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年1月26日）,1998年1月1日=1000,819.59
28,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年1月5日）,1998年1月1日=1000,773.28
29,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年2月14日）,1998年1月1日=1000,844.58
30,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年2月23日）,1998年1月1日=1000,848.32
31,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年2月2日）,1998年1月1日=1000,829.0
32,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年2月9日）,1998年1月1日=1000,836.6
33,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年3月16日）,1998年1月1日=1000,809.75
34,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年3月23日）,1998年1月1日=1000,788.74
35,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年3月2日）,1998年1月1日=1000,845.48
36,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年3月30日）,1998年1月1日=1000,769.67
37,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年3月9日）,1998年1月1日=1000,830.88
38,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年4月13日）,1998年1月1日=1000,748.16
39,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年4月20日）,1998年1月1日=1000,750.37
40,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年4月27日）,1998年1月1日=1000,744.06
41,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年4月4日）,1998年1月1日=1000,757.66
42,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年5月11日）,1998年1月1日=1000,763.12
43,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年5月18日）,1998年1月1日=1000,785.63
44,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年5月25日）,1998年1月1日=1000,789.76
45,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年5月4日）,1998年1月1日=1000,743.71
46,24,综合,2022,中国出口集装箱运价指数(CCFI):综合指数（2022年6月1日）,1998年1月1日=1000,788.78
47,,,2022,中长期贷款利率:5年以上（2022年1月）,%,4.9
48,,,2022,中长期贷款利率:5年以上（2022年2月）,%,4.9
